课时编号,章,节/小节,课题名称,课型,教材印刷页,PDF物理页,建议课时数,课时分钟,核心知识,前置知识,教学重点,教学难点,对应例题/栏目,对应练习,对应作业范围,需图形/图表,适合探究
C07-L01,第7章 相交线与平行线,7.1.1,相交线与对顶角,new_lesson,1—3,8—10,1,45,相交线；邻补角；对顶角及其性质,直线与角；余角与补角,识别邻补角和对顶角；运用对顶角相等,从图形位置关系抽象角的关系,教材7.1例1,教材第3页练习,教材7.1习题中对顶角基础题,是,是
C07-L02,第7章 相交线与平行线,7.1.2,垂线的概念与画法,new_lesson,4—5,11—12,1,45,垂直与垂线；垂足；过一点画已知直线的垂线,相交线；直角,垂直的符号表示；垂线基本事实与规范作图,区分垂线、垂线段和垂足,教材7.1例2,教材第5页练习,垂线画法与符号表示,是,是
C07-L03,第7章 相交线与平行线,7.1.2,垂线段与点到直线的距离,new_lesson,6,13,1,45,垂线段最短；点到直线的距离,垂线画法；线段长度,用垂线段表示点到直线的距离,把“最短”结论用于实际问题,教材第6页引水渠问题,教材第6页练习,垂线段最短与距离应用,是,是
C07-L04,第7章 相交线与平行线,7.1.3,两条直线被第三条直线所截,new_lesson,7—10,14—17,1,45,同位角；内错角；同旁内角；图形观察,相交线；角的表示,按位置识别三类角,在复杂图形中确定两直线和截线,教材7.1例3；观察与猜想“看图时的错觉”,教材7.1习题第1—7题,三线八角识别题,是,是
C07-L05,第7章 相交线与平行线,7.2.1,平行线与平行公理,new_lesson,11—12,18—19,1,45,平行线定义；平行线画法；平行公理及推论,同一平面内直线的位置关系,理解平行线基本事实并规范作图,正确使用“同一平面内”条件,教材第12页直尺三角尺画平行线,教材第12页练习,平行线定义与画法,是,是
C07-L06,第7章 相交线与平行线,7.2.2,平行线的判定,new_lesson,13—15,20—22,1,45,同位角判定；内错角判定；同旁内角判定,三线八角；平行线定义,三种判定方法及依据,由角关系选择恰当判定方法,教材7.2例1,教材第14—15页练习,平行线判定基础与说理,是,是
C07-L07,第7章 相交线与平行线,7.2.3,平行线的性质,new_lesson,16—18,23—25,1,45,平行线三条性质；性质与判定的区别,平行线判定；三线八角,由平行推出角关系,区分“条件”和“结论”的方向,教材7.2例2；教材7.2例3；教材7.2例4,教材第16—18页练习,平行线性质及简单推理,是,是
C07-L08,第7章 相交线与平行线,7.2,平行线的判定与性质综合,practice_lesson,19—21,26—28,1,45,判定与性质综合；几何语言与推理链,平行线判定与性质,按已知和所求选择依据,完整书写多步几何推理,教材7.2习题典型说理题,教材7.2习题第1—13题,7.2习题分层选题,是,否
C07-L09,第7章 相交线与平行线,7.3,定义、命题、定理,new_lesson,22—25,29—32,1,45,定义；命题的题设与结论；真命题和假命题；定理与证明；反例,平行线判定与性质；数学语句,把命题改写为“如果…那么…”并识别题设结论,用证明或反例判断命题真假,教材7.3证明例题,教材第24—25页练习,命题结构、真假判断与简单证明,是,是
C07-L10,第7章 相交线与平行线,7.4,平移的概念、性质与作图,new_lesson,26—29,33—36,1,45,平移；对应点与对应线段；平移性质；平移作图,平行线；全等直观；基本作图,根据方向和距离作平移图形,确定所有对应点的平移方向和距离,教材7.4例题,教材第28—29页练习,方格纸平移与性质应用,是,是
C07-L11,第7章 相交线与平行线,7.4-探究与发现,利用平移设计图案,activity_lesson,30—31,37—38,1,45,基本图形；连续平移；图案设计,平移性质与作图,选择基本图形并设计平移序列,用数学语言说明图案生成过程,探究与发现“利用平移设计图案”,教材第30—31页设计任务,完成并说明一幅平移图案,是,是
C07-L12,第7章 相交线与平行线,数学活动,相交线与平行线数学活动,activity_lesson,32—33,39—40,1,45,平行线画法探究；图案与建筑中的平行关系,平行线判定；平移,用所学知识解释活动结果,把操作结果组织成有依据的说明,教材第32—33页数学活动,活动记录与小组展示,活动报告完善,是,是
C07-L13,第7章 相交线与平行线,小结与复习题7,相交线与平行线章末复习,review_lesson,34—38,41—45,1,45,相交线；垂线；平行线判定与性质；命题证明；平移,第七章全部内容,构建位置关系—角关系—推理方法知识网络,综合图形中的多步推理与规范表达,教材小结典型问题,教材复习题7,复习题7分层选题,是,否
C08-L01,第8章 实数,8.1,平方根,new_lesson,39—41,46—48,1,45,平方根概念；正数与0的平方根；负数没有平方根,有理数乘方；相反数,根据平方关系求平方根,平方根的双值性,教材8.1例1；教材8.1例2,教材第41页练习,平方根概念与求值,否,是
C08-L02,第8章 实数,8.1,算术平方根,new_lesson,42—43,49—50,1,45,算术平方根；根号与被开方数；算术平方根的非负性,平方根,区分平方根与算术平方根,正确理解根号表示的非负值,教材8.1例3,教材第42—43页练习,算术平方根求值与辨析,是,是
C08-L03,第8章 实数,8.1,算术平方根的估算与应用,new_lesson,44—47,51—54,1,45,计算器求平方根；估算无理数范围；算术平方根实际应用,算术平方根；近似数,用夹逼和计算器求近似值,结合实际条件解释近似结果,教材8.1例4；教材8.1例5,教材第44—47页练习与8.1习题,估算、计算器与面积应用,是,是
C08-L04,第8章 实数,8.2,立方根,new_lesson,48—51,55—58,1,45,立方根；开立方；正负数和0的立方根,有理数立方；平方根,利用立方关系求立方根,理解负数有负的立方根,教材8.2例1；教材8.2例2,教材第50页练习与8.2习题,立方根求值与规律,否,是
C08-L05,第8章 实数,8.3,无理数与实数,new_lesson,52—54,59—61,1,45,无理数；实数分类；实数与数轴上点的一一对应,有理数分类；平方根和立方根；数轴,按定义区分有理数与无理数,理解无限不循环小数与无理数,教材第52—54页分类与数轴探究,教材第54页练习,实数分类与数轴表示,是,是
C08-L06,第8章 实数,8.3,实数的性质与简单运算,new_lesson,55—57,62—64,1,45,实数的相反数与绝对值；实数大小；实数运算,有理数性质与运算；算术平方根,把有理数运算规则迁移到实数,含根号数的近似运算和结果表示,教材8.3例1；教材8.3例2；教材8.3例3,教材第55—57页练习,实数性质、比较与简单运算,否,是
