课时编号,课题,教学设计DOCX,教学设计PDF,PPTX,学生学案DOCX,学生学案PDF,教师版DOCX,教师版PDF,内容检查状态,版面检查状态,答案检查状态,完成时间,问题备注
C07-L01,相交线与对顶角,通过,通过,通过,通过,通过,通过,通过,通过,人工确认通过,通过,2026-08-03 01:15,首课金标准已锁定，未覆盖。
C07-L02,垂线的概念与画法,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:33,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C07-L03,垂线段与点到直线的距离,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:34,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C07-L04,两条直线被第三条直线所截,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:34,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C07-L05,平行线与平行公理,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:34,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C07-L06,平行线的判定,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:34,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C07-L07,平行线的性质,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:34,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C07-L08,平行线的判定与性质综合,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:34,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C07-L09,定义、命题、定理,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:34,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C07-L10,平移的概念、性质与作图,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:34,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C07-L11,利用平移设计图案,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:34,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C07-L12,相交线与平行线数学活动,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:34,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C07-L13,相交线与平行线章末复习,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:34,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C08-L01,平方根,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:34,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C08-L02,算术平方根,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:34,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
